Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
12,Wed,12/16/2020,20:45 (22:45),Spezia,2.5,2–2,1.4,Bologna,,Stadio Dino Manuzzi,Piero Giacomelli,Match Report,
12,Thu,12/17/2020,20:45 (22:45),Roma,3.1,3–1,1,Torino,,Stadio Olimpico,Rosario Abisso,Match Report,
,,,,,,,,,,,,,
13,Sat,12/19/2020,15:00 (17:00),Fiorentina,1.6,1–1,1.5,Hellas Verona,,Stadio Artemio Franchi,Francesco Fourneau,Match Report,
13,Sat,12/19/2020,18:00 (20:00),Sampdoria,2.3,3–1,1,Crotone,,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,Match Report,
13,Sat,12/19/2020,20:45 (22:45),Parma,1,0–4,2.3,Juventus,,Stadio Ennio Tardini,Giampaolo Calvarese,Match Report,
13,Sun,12/20/2020,12:30 (14:30),Torino,1.2,1–1,1.9,Bologna,,Stadio Olimpico di Torino,Fabrizio Pasqua,Match Report,
13,Sun,12/20/2020,15:00 (17:00),Inter,1.2,2–1,1,Spezia,,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,
13,Sun,12/20/2020,15:00 (17:00),Benevento,1.5,2–0,0.3,Genoa,,Stadio Ciro Vigorito,Antonio Giua,Match Report,
13,Sun,12/20/2020,15:00 (17:00),Cagliari,0.6,1–1,1.5,Udinese,,Sardegna Arena,Marco Piccinini,Match Report,
13,Sun,12/20/2020,15:00 (17:00),Sassuolo,1.1,1–2,1.2,Milan,,Mapei Stadium - Città del Tricolore,Maurizio Mariani,Match Report,
13,Sun,12/20/2020,18:00 (20:00),Atalanta,1.9,4–1,0.7,Roma,,Stadio Atleti Azzurri d'Italia,Marco Di Bello,Match Report,
13,Sun,12/20/2020,20:45 (22:45),Lazio,1,2–0,0.9,Napoli,,Stadio Olimpico,Daniele Orsato,Match Report,
,,,,,,,,,,,,,
14,Tue,12/22/2020,18:30 (20:30),Crotone,0.6,2–1,1.4,Parma,,Stadio Ezio Scida,Fabio Maresca,Match Report,
14,Tue,12/22/2020,20:45 (22:45),Juventus,0.5,0–3,1.6,Fiorentina,,Allianz Stadium,Federico La Penna,Match Report,
14,Wed,12/23/2020,18:30 (20:30),Hellas Verona,1.5,1–2,1.8,Inter,,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,
14,Wed,12/23/2020,20:45 (22:45),Sampdoria,1.9,2–3,2,Sassuolo,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
14,Wed,12/23/2020,20:45 (22:45),Spezia,0.5,1–2,1.4,Genoa,,Stadio Dino Manuzzi,Davide Massa,Match Report,
14,Wed,12/23/2020,20:45 (22:45),Roma,2.8,3–2,1.3,Cagliari,,Stadio Olimpico,Luca Pairetto,Match Report,
14,Wed,12/23/2020,20:45 (22:45),Bologna,1,2–2,1.4,Atalanta,,Stadio Renato Dall'Ara,Daniele Chiffi,Match Report,
14,Wed,12/23/2020,20:45 (22:45),Napoli,0.9,1–1,0.4,Torino,,Stadio Diego Armando Maradona,Paolo Valeri,Match Report,
14,Wed,12/23/2020,20:45 (22:45),Udinese,2,0–2,0.3,Benevento,,Dacia Arena,Manuel Volpi,Match Report,
14,Wed,12/23/2020,20:45 (22:45),Milan,1.6,3–2,1.6,Lazio,,Stadio Giuseppe Meazza,Marco Di Bello,Match Report,
,,,,,,,,,,,,,
15,Sun,1/3/2021,12:30 (14:30),Inter,2.4,6–2,1.4,Crotone,,Stadio Giuseppe Meazza,Gianluca Aureliano,Match Report,
15,Sun,1/3/2021,15:00 (17:00),Atalanta,2.7,5–1,0.6,Sassuolo,,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
15,Sun,1/3/2021,15:00 (17:00),Roma,2.3,1–0,0.2,Sampdoria,,Stadio Olimpico,Daniele Chiffi,Match Report,
15,Sun,1/3/2021,15:00 (17:00),Fiorentina,0.5,0–0,0.8,Bologna,,Stadio Artemio Franchi,Daniele Orsato,Match Report,
15,Sun,1/3/2021,15:00 (17:00),Genoa,0.9,1–1,1.4,Lazio,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,
15,Sun,1/3/2021,15:00 (17:00),Cagliari,0.9,1–4,4.6,Napoli,,Sardegna Arena,Gianluca Manganiello,Match Report,
15,Sun,1/3/2021,15:00 (17:00),Spezia,0.9,0–1,1.3,Hellas Verona,,Stadio Dino Manuzzi,Luca Pairetto,Match Report,
15,Sun,1/3/2021,15:00 (17:00),Parma,1,0–3,1.7,Torino,,Stadio Ennio Tardini,Daniele Doveri,Match Report,
15,Sun,1/3/2021,18:00 (20:00),Benevento,2.5,0–2,1.5,Milan,,Stadio Ciro Vigorito,Fabrizio Pasqua,Match Report,
15,Sun,1/3/2021,20:45 (22:45),Juventus,2.5,4–1,1.7,Udinese,,Allianz Stadium,Piero Giacomelli,Match Report,
,,,,,,,,,,,,,
16,Wed,1/6/2021,12:30 (14:30),Cagliari,1,1–2,1.4,Benevento,,Sardegna Arena,Eugenio Abbattista,Match Report,
16,Wed,1/6/2021,15:00 (17:00),Atalanta,1.8,3–0,0.1,Parma,,Stadio Atleti Azzurri d'Italia,Juan Sacchi,Match Report,
16,Wed,1/6/2021,15:00 (17:00),Sassuolo,2.1,2–1,1.1,Genoa,,Mapei Stadium - Città del Tricolore,Michael Fabbri,Match Report,
16,Wed,1/6/2021,15:00 (17:00),Crotone,0.8,1–3,2,Roma,,Stadio Ezio Scida,Marco Piccinini,Match Report,
16,Wed,1/6/2021,15:00 (17:00),Bologna,1.2,2–2,2.1,Udinese,,Stadio Renato Dall'Ara,Giovanni Ayroldi,Match Report,
16,Wed,1/6/2021,15:00 (17:00),Sampdoria,1.3,2–1,2.7,Inter,,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,
16,Wed,1/6/2021,15:00 (17:00),Torino,1.4,1–1,0.4,Hellas Verona,,Stadio Olimpico di Torino,Marco Di Bello,Match Report,
16,Wed,1/6/2021,15:00 (17:00),Lazio,1.5,2–1,1.7,Fiorentina,,Stadio Olimpico,Rosario Abisso,Match Report,
16,Wed,1/6/2021,18:00 (20:00),Napoli,3.1,1–2,1.9,Spezia,,Stadio Diego Armando Maradona,Maurizio Mariani,Match Report,
16,Wed,1/6/2021,20:45 (22:45),Milan,1,1–3,2.3,Juventus,,Stadio Giuseppe Meazza,Massimiliano Irrati,Match Report,
,,,,,,,,,,,,,
17,Sat,1/9/2021,15:00 (17:00),Benevento,0.9,1–4,3.8,Atalanta,,Stadio Ciro Vigorito,Gianluca Manganiello,Match Report,
17,Sat,1/9/2021,18:00 (20:00),Genoa,1.3,2–0,0.9,Bologna,,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
17,Sat,1/9/2021,20:45 (22:45),Milan,1.6,2–0,0.5,Torino,,Stadio Giuseppe Meazza,Fabio Maresca,Match Report,
17,Sun,1/10/2021,12:30 (14:30),Roma,0.7,2–2,1.6,Inter,,Stadio Olimpico,Marco Di Bello,Match Report,
17,Sun,1/10/2021,15:00 (17:00),Udinese,2.1,1–2,1.7,Napoli,,Dacia Arena,Fabrizio Pasqua,Match Report,
17,Sun,1/10/2021,15:00 (17:00),Hellas Verona,1.4,2–1,0.9,Crotone,,Stadio Marc'Antonio Bentegodi,Luca Massimi,Match Report,
17,Sun,1/10/2021,15:00 (17:00),Parma,0.3,0–2,2.9,Lazio,,Stadio Ennio Tardini,Luca Pairetto,Match Report,
17,Sun,1/10/2021,18:00 (20:00),Fiorentina,1.9,1–0,1.2,Cagliari,,Stadio Artemio Franchi,Piero Giacomelli,Match Report,
17,Sun,1/10/2021,20:45 (22:45),Juventus,2.8,3–1,0.7,Sassuolo,,Allianz Stadium,Davide Massa,Match Report,
17,Mon,1/11/2021,20:45 (22:45),Spezia,1.5,2–1,0.7,Sampdoria,,Stadio Dino Manuzzi,Marco Piccinini,Match Report,
,,,,,,,,,,,,,
18,Fri,1/15/2021,20:45 (22:45),Lazio,0.8,3–0,0.9,Roma,,Stadio Olimpico,Daniele Orsato,Match Report,
18,Sat,1/16/2021,15:00 (17:00),Bologna,2,1–0,0.8,Hellas Verona,,Stadio Renato Dall'Ara,Maurizio Mariani,Match Report,
18,Sat,1/16/2021,18:00 (20:00),Torino,0.7,0–0,0.3,Spezia,,Stadio Olimpico di Torino,Michael Fabbri,Match Report,
18,Sat,1/16/2021,20:45 (22:45),Sampdoria,1.5,2–1,2.1,Udinese,,Stadio Comunale Luigi Ferraris,Juan Sacchi,Match Report,
18,Sun,1/17/2021,12:30 (14:30),Napoli,2,6–0,1,Fiorentina,,Stadio Diego Armando Maradona,Daniele Chiffi,Match Report,
18,Sun,1/17/2021,15:00 (17:00),Sassuolo,1.9,1–1,0.8,Parma,,Mapei Stadium - Città del Tricolore,Ivan Pezzuto,Match Report,
18,Sun,1/17/2021,15:00 (17:00),Crotone,1.5,4–1,2.2,Benevento,,Stadio Ezio Scida,Simone Sozza,Match Report,
18,Sun,1/17/2021,18:00 (20:00),Atalanta,1.6,0–0,0.8,Genoa,,Stadio Atleti Azzurri d'Italia,Livio Marinelli,Match Report,
18,Sun,1/17/2021,20:45 (22:45),Inter,1.6,2–0,0.5,Juventus,,Stadio Giuseppe Meazza,Daniele Doveri,Match Report,
18,Mon,1/18/2021,20:45 (22:45),Cagliari,1.3,0–2,1.7,Milan,,Sardegna Arena,Rosario Abisso,Match Report,
,,,,,,,,,,,,,
