Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sun,10/30/2022,15:00 (17:00),Spezia,1.2,1–2,2.1,Fiorentina,"10,500",Stadio Alberto Picco,Davide Massa,Match Report,
12,Sun,10/30/2022,15:00 (17:00),Cremonese,0.7,0–0,1,Udinese,"12,810",Stadio Giovanni Zini,Massimiliano Irrati,Match Report,
12,Sun,10/30/2022,18:00 (20:00),Lazio,1.9,1–3,1.5,Salernitana,"40,000",Stadio Olimpico,Gianluca Manganiello,Match Report,
12,Sun,10/30/2022,20:45 (22:45),Torino,0.6,2–1,1.1,Milan,"26,133",Stadio Olimpico di Torino,Rosario Abisso,Match Report,
12,Mon,10/31/2022,18:30 (20:30),Hellas Verona,0.3,1–3,3.1,Roma,"24,000",Stadio Marc'Antonio Bentegodi,Juan Sacchi,Match Report,
12,Mon,10/31/2022,20:45 (22:45),Monza,1.2,1–2,1.3,Bologna,"11,388",U-Power Stadium,Luca Pairetto,Match Report,
,,,,,,,,,,,,,
13,Fri,11/4/2022,20:45 (22:45),Udinese,1.7,1–1,0.7,Lecce,"21,834",Dacia Arena,Francesco Fourneau,Match Report,
13,Sat,11/5/2022,15:00 (17:00),Empoli,1.2,1–0,0.6,Sassuolo,"7,834",Stadio Carlo Castellani,Ermanno Feliciani,Match Report,
13,Sat,11/5/2022,15:00 (17:00),Salernitana,1.3,2–2,1.7,Cremonese,"16,780",Stadio Arechi,Matteo Marchetti,Match Report,
13,Sat,11/5/2022,18:00 (20:00),Atalanta,2,1–2,1.3,Napoli,"19,363",Stadio Atleti Azzurri d'Italia,Maurizio Mariani,Match Report,
13,Sat,11/5/2022,20:45 (22:45),Milan,2.2,2–1,1.6,Spezia,"71,099",Stadio Giuseppe Meazza,Michael Fabbri,Match Report,
13,Sun,11/6/2022,12:30 (14:30),Bologna,2,2–1,1,Torino,"23,168",Stadio Renato Dall'Ara,Antonio Giua,Match Report,
13,Sun,11/6/2022,15:00 (17:00),Monza,1.3,2–0,0.4,Hellas Verona,"11,723",U-Power Stadium,Francesco Cosso,Match Report,
13,Sun,11/6/2022,15:00 (17:00),Sampdoria,0.8,0–2,0.9,Fiorentina,"19,226",Stadio Comunale Luigi Ferraris,Livio Marinelli,Match Report,
13,Sun,11/6/2022,18:00 (20:00),Roma,0.5,0–1,0.6,Lazio,"62,847",Stadio Olimpico,Daniele Orsato,Match Report,
13,Sun,11/6/2022,20:45 (22:45),Juventus,0.9,2–0,1.2,Inter,"40,093",Allianz Stadium,Daniele Doveri,Match Report,
,,,,,,,,,,,,,
14,Tue,11/8/2022,18:30 (20:30),Napoli,2,2–0,0.3,Empoli,"36,000",Stadio Diego Armando Maradona,Luca Pairetto,Match Report,
14,Tue,11/8/2022,18:30 (20:30),Spezia,2,1–1,0.6,Udinese,"6,900",Stadio Alberto Picco,Marco Piccinini,Match Report,
14,Tue,11/8/2022,20:45 (22:45),Cremonese,0.3,0–0,1,Milan,"14,610",Stadio Giovanni Zini,Antonio Rapuano,Match Report,
14,Wed,11/9/2022,18:30 (20:30),Lecce,1.1,2–1,1.5,Atalanta,"23,797",Stadio Comunale Via Del Mare,Gianluca Aureliano,Match Report,
14,Wed,11/9/2022,18:30 (20:30),Sassuolo,1.2,1–1,0.7,Roma,"16,665",Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,Match Report,
14,Wed,11/9/2022,20:45 (22:45),Fiorentina,2.8,2–1,0.5,Salernitana,"27,329",Stadio Artemio Franchi,Federico La Penna,Match Report,
