Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,5,Wed,10/26/2022,21:00 (22:00),Napoli it,1.8,3–0,0.7,sct Rangers,"39,835",Stadio Diego Armando Maradona,Halil Umut Meler,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Tue,11/1/2022,17:45 (20:45),Porto pt,2.7,2–1,0.8,es Atlético Madrid,"47,546",Estádio Do Dragão,Daniele Orsato,Match Report,
Group stage,6,Tue,11/1/2022,18:45 (20:45),Leverkusen de,1.1,0–0,0.5,be Club Brugge,"30,210",BayArena,Maurizio Mariani,Match Report,
Group stage,6,Tue,11/1/2022,20:00 (23:00),Liverpool eng,2.4,2–0,0.4,it Napoli,"52,077",Anfield,Tobias Stieler,Match Report,
Group stage,6,Tue,11/1/2022,20:00 (23:00),Rangers sct,1.8,1–3,1.8,nl Ajax,"48,817",Ibrox Stadium,Glenn Nyberg,Match Report,
Group stage,6,Tue,11/1/2022,20:00 (23:00),Sporting CP pt,0.5,1–2,1.2,de Eint Frankfurt,"41,744",Estádio José Alvalade,Slavko Vinčič,Match Report,
Group stage,6,Tue,11/1/2022,21:00 (23:00),Marseille fr,1.4,1–2,0.6,eng Tottenham,"50,768",Orange Vélodrome,Szymon Marciniak,Match Report,
Group stage,6,Tue,11/1/2022,21:00 (23:00),Bayern Munich de,1.5,2–0,0.7,it Inter,"75,000",Allianz Arena,Ivan Kružliak,Match Report,
Group stage,6,Tue,11/1/2022,21:00 (23:00),Viktoria Plzeň cz,2.6,2–4,2.3,es Barcelona,"11,258",Doosan Arena,Radu Petrescu,Match Report,
Group stage,6,Wed,11/2/2022,18:45 (20:45),Real Madrid es,3.8,5–1,2.1,sct Celtic,"52,511",Estadio Santiago Bernabéu,Stéphanie Frappart,Match Report,
Group stage,6,Wed,11/2/2022,19:45 (20:45),Shakhtar ua,0.2,0–4,2.2,de RB Leipzig,"26,045",Stadion Miejski Legii Warszawa im. Marsz...,Michael Oliver,Match Report,
Group stage,6,Wed,11/2/2022,20:00 (23:00),Manchester City eng,2,3–1,0.4,es Sevilla,"51,610",Etihad Stadium,Orel Grinfeeld,Match Report,
Group stage,6,Wed,11/2/2022,20:00 (23:00),Chelsea eng,2.7,2–1,0.9,hr Dinamo Zagreb,"39,392",Stamford Bridge,François Letexier,Match Report,
Group stage,6,Wed,11/2/2022,21:00 (23:00),FC Copenhagen dk,1.8,1–1,1.2,de Dortmund,"31,900",Parken,Əliyar Ağayev,Match Report,
Group stage,6,Wed,11/2/2022,21:00 (23:00),Juventus it,1.6,1–2,0.5,fr Paris S-G,"41,089",Allianz Stadium,Carlos del Cerro,Match Report,
Group stage,6,Wed,11/2/2022,21:00 (23:00),Milan it,1.8,4–0,1.6,at RB Salzburg,"74,292",Stadio Giuseppe Meazza,Antonio Matéu Lahoz,Match Report,
Group stage,6,Wed,11/2/2022,22:00 (23:00),Maccabi Haifa il,1.6,1–6,1.5,pt Benfica,"30,464",Sammy Ofer Stadium,Anthony Taylor,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Tue,2/14/2023,21:00 (23:00),Paris S-G fr,,,,de Bayern Munich,,Parc des Princes,,Head-to-Head,Leg 1 of 2
Round of 16,,Tue,2/14/2023,21:00 (23:00),Milan it,,,,eng Tottenham,,Stadio Giuseppe Meazza,,Head-to-Head,Leg 1 of 2
Round of 16,,Wed,2/15/2023,21:00 (23:00),Dortmund de,,,,eng Chelsea,,Signal Iduna Park,,Head-to-Head,Leg 1 of 2
Round of 16,,Wed,2/15/2023,21:00 (23:00),Club Brugge be,,,,pt Benfica,,Jan Breydelstadion,,Head-to-Head,Leg 1 of 2
Round of 16,,Tue,2/21/2023,20:00 (23:00),Liverpool eng,,,,es Real Madrid,,Anfield,,Head-to-Head,Leg 1 of 2
Round of 16,,Tue,2/21/2023,21:00 (23:00),Eint Frankfurt de,,,,it Napoli,,Deutsche Bank Park,,Head-to-Head,Leg 1 of 2
