Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
16,Thu,12/29/2022,21:00 (23:00),Nice,1,0–0,1,Lens,"24,672",Stade de Nice,Benoît Millot,Match Report,
,,,,,,,,,,,,,
17,Sun,1/1/2023,15:00 (17:00),Toulouse,1.1,2–0,0,Ajaccio,"25,957",Stadium Municipal,Pierre Gaillouste,Match Report,
17,Sun,1/1/2023,15:00 (17:00),Monaco,1.4,1–0,0.8,Brest,"6,150",Stade Louis II.,Jeremy Stinat,Match Report,
17,Sun,1/1/2023,15:00 (17:00),Angers,2.3,1–2,0.6,Lorient,"6,000",Stade Raymond Kopa,Florent Batta,Match Report,
17,Sun,1/1/2023,15:00 (17:00),Nantes,1,1–0,0.8,Auxerre,"23,266",Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
17,Sun,1/1/2023,17:00 (19:00),Lyon,0.7,0–1,1.2,Clermont Foot,"30,000",Groupama Stadium,Stéphanie Frappart,Match Report,
17,Sun,1/1/2023,20:45 (22:45),Lens,1.8,3–1,1.6,Paris S-G,"38,047",Stade Bollaert-Delelis,Jérôme Brisard,Match Report,
17,Mon,1/2/2023,15:00 (17:00),Strasbourg,1.1,2–3,1.2,Troyes,"25,135",Stade de la Meinau,Benoît Millot,Match Report,
17,Mon,1/2/2023,17:00 (19:00),Lille,2.3,1–1,0.8,Reims,"31,086",Decathlon Arena - Stade Pierre-Mauroy,Eric Wattellier,Match Report,
17,Mon,1/2/2023,19:00 (21:00),Montpellier,1.4,1–2,1.4,Marseille,"18,971",Stade de la Mosson,Ruddy Buquet,Match Report,
17,Mon,1/2/2023,21:00 (23:00),Rennes,1.9,2–1,0.4,Nice,"27,427",Roazhon Park,Thomas Léonard,Match Report,
,,,,,,,,,,,,,
18,Wed,1/11/2023,19:00 (21:00),Clermont Foot,,,,Rennes,,Stade Gabriel Montpied,,Head-to-Head,
18,Wed,1/11/2023,19:00 (21:00),Ajaccio,,,,Reims,,Stade François Coty,,Head-to-Head,
18,Wed,1/11/2023,19:00 (21:00),Auxerre,,,,Toulouse,,Stade de l'Abbé Deschamps,,Head-to-Head,
18,Wed,1/11/2023,19:00 (21:00),Brest,,,,Lille,,Stade Francis-Le Blé,,Head-to-Head,
18,Wed,1/11/2023,19:00 (21:00),Nantes,,,,Lyon,,Stade de la Beaujoire - Louis Fonteneau,,Head-to-Head,
18,Wed,1/11/2023,21:00 (23:00),Troyes,,,,Marseille,,Stade de l'Aube,,Head-to-Head,
18,Wed,1/11/2023,21:00 (23:00),Nice,,,,Montpellier,,Stade de Nice,,Head-to-Head,
