Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,12,Sun,11/4/2018,21:00 (23:00),Montpellier,1.2,3–0,1.3,Marseille,"19,683",Stade de la Mosson,Antony Gautier,Match Report,
,,,,,,,,,,,,,,
Regular season,13,Fri,11/9/2018,20:45 (22:45),Lille,1.4,0–0,0.2,Strasbourg,"27,544",Stade Pierre-Mauroy,Olivier Thual,Match Report,
Regular season,13,Sat,11/10/2018,17:00 (19:00),Guingamp,1.5,2–4,1.4,Lyon,"14,171",Stade du Roudourou,Mikael Lesage,Match Report,
Regular season,13,Sat,11/10/2018,20:00 (22:00),Toulouse,1.7,0–1,0.5,Amiens,"13,553",Stadium Municipal,Eric Wattellier,Match Report,
Regular season,13,Sat,11/10/2018,20:00 (22:00),Saint-Étienne,0.9,2–0,0.7,Reims,"22,838",Stade Geoffroy-Guichard,Florent Batta,Match Report,
Regular season,13,Sat,11/10/2018,20:00 (22:00),Nîmes,1.1,0–1,1.3,Nice,"14,290",Stade des Costières,Benoît Bastien,Match Report,
Regular season,13,Sat,11/10/2018,20:00 (22:00),Angers,0.8,1–0,0.4,Montpellier,"8,342",Stade Raymond Kopa,Jeremy Stinat,Match Report,
Regular season,13,Sun,11/11/2018,15:00 (17:00),Bordeaux,1.5,0–0,0.5,Caen,"15,352",Stade Matmut-Atlantique,Nicolas Rainville,Match Report,
Regular season,13,Sun,11/11/2018,17:00 (19:00),Rennes,1.8,1–1,0.3,Nantes,"23,270",Roazhon Park,Karim Abed,Match Report,
Regular season,13,Sun,11/11/2018,17:00 (19:00),Marseille,3.2,2–0,0.4,Dijon,"47,430",Orange Vélodrome,Willy Delajod,Match Report,
Regular season,13,Sun,11/11/2018,21:00 (23:00),Monaco,1.4,0–4,3.6,Paris S-G,"12,533",Stade Louis II.,Ruddy Buquet,Match Report,
,,,,,,,,,,,,,,
Regular season,14,Fri,11/23/2018,21:00 (23:00),Lyon,0.9,1–0,1.5,Saint-Étienne,"55,701",Groupama Stadium,Antony Gautier,Match Report,
Regular season,14,Sat,11/24/2018,17:00 (19:00),Paris S-G,1.2,1–0,0.6,Toulouse,"47,244",Parc des Princes,Hakim Ben El Hadj Salem,Match Report,
Regular season,14,Sat,11/24/2018,20:00 (22:00),Nantes,1.7,1–1,0.8,Angers,"23,682",Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
Regular season,14,Sat,11/24/2018,20:00 (22:00),Dijon,0.9,0–0,0.4,Bordeaux,"12,285",Stade Gaston Gérard,François Letexier,Match Report,
