Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
10,Tue,10/18/2022,21:00 (22:00),Atlético Madrid,1.1,1–1,1.8,Rayo Vallecano,"46,803",Estadio Cívitas Metropolitano,Javier Villanueva,Match Report,
10,Wed,10/19/2022,19:00 (20:00),Cádiz,0.9,0–0,0.9,Betis,"18,505",Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Match Report,
10,Wed,10/19/2022,19:00 (20:00),Valladolid,1.5,4–1,2.6,Celta Vigo,"16,547",Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
10,Wed,10/19/2022,20:00 (21:00),Real Sociedad,1.2,1–0,0.9,Mallorca,"27,085",Reale Arena,Miguel Ángel Ortiz Arias,Match Report,
10,Wed,10/19/2022,21:00 (22:00),Elche,0.8,0–3,1.5,Real Madrid,"30,236",Estadio Manuel Martínez Valero,Jesús Gil,Match Report,
10,Thu,10/20/2022,19:00 (20:00),Almería,1.8,3–2,2.8,Girona,"11,194",Power Horse Stadium,Guillermo Cuadra,Match Report,
10,Thu,10/20/2022,20:00 (21:00),Osasuna,1,1–0,1,Espanyol,"17,832",Estadio El Sadar,Mario Melero,Match Report,
10,Thu,10/20/2022,21:00 (22:00),Barcelona,2.1,3–0,0.4,Villarreal,"73,261",Camp Nou,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
11,Sat,10/22/2022,14:00 (15:00),Rayo Vallecano,3.7,5–1,0.2,Cádiz,"12,975",Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
11,Sat,10/22/2022,16:15 (17:15),Valladolid,0.8,1–0,0.9,Real Sociedad,"21,175",Estadio Municipal José Zorrilla,Jorge Figueroa,Match Report,
11,Sat,10/22/2022,18:30 (19:30),Valencia,1.2,1–2,1.5,Mallorca,"41,199",Estadio de Mestalla,José Sánchez,Match Report,
11,Sat,10/22/2022,21:00 (22:00),Real Madrid,3,3–1,0.5,Sevilla,"59,625",Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
11,Sun,10/23/2022,14:00 (15:00),Espanyol,2.2,2–2,0.5,Elche,"17,560",RCDE Stadium,José Luis Munuera,Match Report,
11,Sun,10/23/2022,16:15 (17:15),Betis,1.4,1–2,0.8,Atlético Madrid,"50,179",Estadio Benito Villamarín,Jesús Gil,Match Report,
11,Sun,10/23/2022,18:30 (19:30),Girona,0.4,1–1,0.6,Osasuna,"10,032",Estadi Municipal de Montilivi,Juan Pulido,Match Report,
11,Sun,10/23/2022,18:30 (19:30),Villarreal,1,2–1,1,Almería,"13,816",Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
11,Sun,10/23/2022,21:00 (22:00),Barcelona,1.4,4–0,0.5,Athletic Club,"84,817",Camp Nou,Juan Martínez,Match Report,
11,Mon,10/24/2022,21:00 (22:00),Celta Vigo,0.7,1–1,0.2,Getafe,"9,774",Estadio de Balaídos,Pablo González,Match Report,
,,,,,,,,,,,,,
12,Fri,10/28/2022,21:00 (22:00),Mallorca,1.4,1–1,0.3,Espanyol,"13,982",Iberostar Estadi,Isidro Díaz de Mera,Match Report,
12,Sat,10/29/2022,14:00 (15:00),Almería,2.3,3–1,0.3,Celta Vigo,"11,080",Power Horse Stadium,Carlos del Cerro,Match Report,
12,Sat,10/29/2022,16:15 (17:15),Cádiz,1.1,3–2,1.3,Atlético Madrid,"18,183",Estadio Nuevo Mirandilla,José Sánchez,Match Report,
12,Sat,10/29/2022,18:30 (19:30),Sevilla,1.2,0–1,0.7,Rayo Vallecano,"36,601",Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
12,Sat,10/29/2022,21:00 (22:00),Valencia,0.2,0–1,1.6,Barcelona,"46,007",Estadio de Mestalla,Ricardo de Burgos,Match Report,
12,Sun,10/30/2022,14:00 (16:00),Osasuna,2.5,2–0,0.5,Valladolid,"19,429",Estadio El Sadar,Guillermo Cuadra,Match Report,
12,Sun,10/30/2022,16:15 (18:15),Real Madrid,2.9,1–1,1.4,Girona,"58,367",Estadio Santiago Bernabéu,Mario Melero,Match Report,
12,Sun,10/30/2022,18:30 (20:30),Athletic Club,1.7,1–0,0.3,Villarreal,"46,081",San Mamés,Miguel Ángel Ortiz Arias,Match Report,
12,Sun,10/30/2022,21:00 (23:00),Real Sociedad,0.9,0–2,1.3,Betis,"32,435",Reale Arena,Javier Villanueva,Match Report,
12,Mon,10/31/2022,21:00 (23:00),Elche,1.3,0–1,0.4,Getafe,"19,588",Estadio Manuel Martínez Valero,César Soto,Match Report,
,,,,,,,,,,,,,
13,Fri,11/4/2022,21:00 (23:00),Girona,1,2–1,0.7,Athletic Club,"11,420",Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
