,Unnamed: 0,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff
1050,1050,6.499999999999998,4.2,-0.200000000000001,2.7,28.40000000000001,12.600000000000009,-0.1,-5.6,-3.1999999999999997,0.9000000000000004,-1.7000000000000002,-12.599999999999994,-4.799999999999997,-0.3999999999999999
1051,1051,14.1,10.2,0.3999999999999994,5.8,39.6,17.400000000000006,1.5,-6.300000000000001,-4.7,-1.0,-4.499999999999999,-34.400000000000006,-15.5,-0.7
1052,1052,-2.3999999999999986,-1.9999999999999991,3.0,-0.7999999999999998,4.400000000000006,2.299999999999997,-0.6000000000000001,8.6,5.6,-1.9000000000000004,3.1,13.400000000000006,7.600000000000008,1.5
1053,1053,-0.3000000000000007,0.5,-1.0999999999999996,-0.1000000000000005,-3.5999999999999943,0.0,0.0999999999999998,-3.1999999999999997,-2.3999999999999995,1.0,-1.1000000000000003,-10.599999999999994,-4.099999999999994,0.0999999999999998
1054,1054,0.200000000000001,2.2,0.6999999999999993,0.1000000000000005,1.7999999999999972,1.8000000000000114,1.4,0.6999999999999993,0.3999999999999994,2.6999999999999997,0.0,-7.0,-3.0,-0.7
1055,1055,-1.9000000000000004,-2.9000000000000004,-1.9000000000000004,-1.0,-14.0,-5.6000000000000085,-1.0000000000000002,-2.0,-3.200000000000001,-1.7000000000000002,-0.7000000000000002,5.400000000000006,1.9000000000000057,-0.7999999999999999
1056,1056,-2.4000000000000004,-3.0,-1.0,-0.8999999999999995,-14.400000000000006,-6.400000000000006,-1.1,-3.8000000000000007,-2.6,1.0999999999999996,-3.0,-5.599999999999994,-2.5,-0.1999999999999999
1057,1057,9.2,5.799999999999999,-2.0,4.0,14.400000000000006,7.799999999999997,1.1,-0.4000000000000003,2.1999999999999997,-1.6999999999999993,0.5,-5.799999999999997,-2.6999999999999886,0.6000000000000001
1058,1058,-6.300000000000001,-4.9,-1.3999999999999986,-3.5,-30.2,-13.0,-0.5,-3.799999999999999,-2.499999999999999,1.6000000000000003,-2.2,-12.799999999999995,-4.699999999999989,-0.3999999999999999
1059,1059,-6.300000000000001,-3.9,-0.1999999999999993,-1.2000000000000002,-26.8,-12.5,-1.1,-3.6,-1.8000000000000007,1.799999999999999,-0.4000000000000003,-11.200000000000005,-4.700000000000003,-0.1999999999999999
