Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,5,Thu,11/28/2019,21:00 (23:00),Malmö se,2.6,4–3,2.7,ua Dynamo Kyiv,"19,224",Eleda Stadion,Pavel Královec,Match Report,
Group stage,5,Thu,11/28/2019,21:00 (23:00),F91 Dudelange lu,0.5,0–2,2.2,cy APOEL,"2,912",Stade Josy Barthel,Gianluca Rocchi,Match Report,
Group stage,5,Thu,11/28/2019,21:50 (18:50),Astana FK kz,1.4,2–1,1.5,eng Manchester Utd,"28,949",Astana Arena,Donatas Rumšas,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Thu,12/12/2019,18:55 (20:55),FC Copenhagen dk,0.6,0–1,0.7,se Malmö,"32,941",Telia Parken,Davide Massa,Match Report,
Group stage,6,Thu,12/12/2019,18:55 (20:55),PSV Eindhoven nl,0.6,1–1,0.5,no Rosenborg,"24,000",Philips Stadion,Vitaly Meshkov,Match Report,
Group stage,6,Thu,12/12/2019,18:55 (20:55),Rennes fr,1.4,2–0,0.5,it Lazio,"25,082",Roazhon Park,Srđan Jovanović,Match Report,
Group stage,6,Thu,12/12/2019,18:55 (20:55),LASK at,2.5,3–0,1,pt Sporting CP,"14,000",Linzer Stadion,William Collum,Match Report,
Group stage,6,Thu,12/12/2019,18:55 (20:55),Basel ch,2,2–0,0.5,tr Trabzonspor,"17,921",St. Jakob-Park,Aleksandar Stavrev,Match Report,
Group stage,6,Thu,12/12/2019,18:55 (20:55),Eint Frankfurt de,2,2–3,0.4,pt Vitória,"47,000",Deutsche Bank Park,Gediminas Mažeika,Match Report,
Group stage,6,Thu,12/12/2019,18:55 (20:55),Standard Liège be,0.5,2–2,1.6,eng Arsenal,"21,797",Stade Maurice Dufrasne,Andreas Ekberg,Match Report,
Group stage,6,Thu,12/12/2019,18:55 (20:55),Getafe es,1.8,3–0,0.2,ru Krasnodar,"9,389",Coliseum Alfonso Pérez,Daniel Siebert,Match Report,
Group stage,6,Thu,12/12/2019,19:55 (20:55),CFR Cluj ro,2.3,2–0,0.3,sct Celtic,"12,890",Stadionul Dr. Constantin Rădulescu,Halis Özkahya,Match Report,
Group stage,6,Thu,12/12/2019,19:55 (20:55),APOEL cy,1.1,1–0,1.5,es Sevilla,"5,608",Neo GSP,Nikola Dabanović,Match Report,
Group stage,6,Thu,12/12/2019,19:55 (20:55),Dynamo Kyiv ua,3.5,1–1,0.8,ch Lugano,"15,774",NSK Olimpijs'kyj,Əliyar Ağayev,Match Report,
Group stage,6,Thu,12/12/2019,20:00 (23:00),Rangers sct,1.6,1–1,0.6,ch Young Boys,"49,015",Ibrox Stadium,Felix Brych,Match Report,
Group stage,6,Thu,12/12/2019,20:00 (23:00),Porto pt,2.1,3–2,1.3,nl Feyenoord,"28,507",Estádio Do Dragão,Deniz Aytekin,Match Report,
Group stage,6,Thu,12/12/2019,20:00 (23:00),Wolves eng,2.5,4–0,0.3,tr Beşiktaş,"27,866",Molineux Stadium,Andris Treimanis,Match Report,
Group stage,6,Thu,12/12/2019,20:00 (23:00),Manchester Utd eng,1.6,4–0,0.9,nl AZ Alkmaar,"65,773",Old Trafford,Sandro Schärer,Match Report,
Group stage,6,Thu,12/12/2019,21:00 (23:00),Partizan rs,2.2,4–1,0.6,kz Astana FK,"8,075",Stadion Partizana,Filip Glova,Match Report,
Group stage,6,Thu,12/12/2019,21:00 (23:00),Gent be,1.1,2–1,1,ua FC Oleksandriya,"13,156",GHELAMCO-arena,Radu Petrescu,Match Report,
Group stage,6,Thu,12/12/2019,21:00 (23:00),Wolfsburg de,1.7,1–0,0.8,fr Saint-Étienne,"10,802",Volkswagen Arena,Paul Tierney,Match Report,
Group stage,6,Thu,12/12/2019,21:00 (23:00),M'Gladbach de,3.2,1–2,1.6,tr Başakşehir,"40,046",Stadion im Borussia-Park,José Sánchez,Match Report,
Group stage,6,Thu,12/12/2019,21:00 (23:00),Slovan Bratislava sk,0.8,2–4,2.6,pt Braga,"10,856",Štadión Tehelné pole,Paweł Gil,Match Report,
Group stage,6,Thu,12/12/2019,21:00 (23:00),Espanyol es,1.3,0–1,1.3,ru CSKA Moscow,"10,615",RCDE Stadium,Kevin Blom,Match Report,
Group stage,6,Thu,12/12/2019,21:00 (23:00),Roma it,2.3,2–2,0.8,at Wolfsberger AC,"21,672",Stadio Olimpico,Craig Pawson,Match Report,
Group stage,6,Thu,12/12/2019,21:55 (20:55),Qarabağ Ağdam az,2,1–1,0.6,lu F91 Dudelange,"5,823",Tofiq Bəhramov adına Respublika stadionu,Kristo Tohver,Match Report,
Group stage,6,Thu,12/12/2019,22:00 (23:00),Ludogorets bg,0.9,1–1,1.5,hu Ferencváros,"5,528",Huvepharma Arena,Matej Jug,Match Report,
