Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Knockout round play-offs,,Thu,2/17/2022,19:45 (20:45),Sheriff Tiraspol md,1.4,2–0,0.9,pt Braga,"3,062",Bolshaya Sportivnaya Arena,Danny Makkelie,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2/17/2022,20:00 (23:00),Porto pt,1.6,2–1,0.5,it Lazio,"32,929",Estádio Do Dragão,Serdar Gözübüyük,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2/17/2022,20:45,Zenit ru,1.2,2–3,1.3,es Betis,"28,936",Gazprom Arena,Benoît Bastien,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2/17/2022,21:00 (23:00),Sevilla es,1.8,3–1,1.5,hr Dinamo Zagreb,"28,372",Estadio Ramón Sánchez Pizjuán,Marco Guida,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2/17/2022,21:00 (23:00),RB Leipzig de,1.7,2–2,0.9,es Real Sociedad,"21,113",Red Bull Arena,Cüneyt Çakιr,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2/17/2022,21:00 (23:00),Atalanta it,1.9,2–1,0.4,gr Olympiacos,"9,448",Stadio Atleti Azzurri d'Italia,Sandro Schärer,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2/24/2022,18:45 (20:45),Real Sociedad es,1.2,1–3,2.6,de RB Leipzig,"30,113",Estadio Municipal de Anoeta,Anthony Taylor,Match Report,Leg 2 of 2; RB Leipzig won
Knockout round play-offs,,Thu,2/24/2022,18:45 (20:45),Dinamo Zagreb hr,1.1,1–0,0.9,es Sevilla,"9,788",Stadion Maksimir,François Letexier,Match Report,Leg 2 of 2; Sevilla won
Knockout round play-offs,,Thu,2/24/2022,18:45 (20:45),Lazio it,2.3,2–2,2.1,pt Porto,"24,948",Stadio Olimpico,Deniz Aytekin,Match Report,Leg 2 of 2; Porto won
Knockout round play-offs,,Thu,2/24/2022,19:45 (20:45),Olympiacos gr,0.2,0–3,0.9,it Atalanta,"15,835",Stadio Georgios Karaiskáki,Carlos del Cerro,Match Report,Leg 2 of 2; Atalanta won
Knockout round play-offs,,Thu,2/24/2022,20:00 (23:00),Braga pt,3,(3) 2–0 (2),1,md Sheriff Tiraspol,"9,423",Estádio Municipal de Braga,José Sánchez,Match Report,Leg 2 of 2; Braga won; Braga won on penalty kicks following extra time
Knockout round play-offs,,Thu,2/24/2022,20:00 (23:00),Rangers sct,1.7,2–2,3.6,de Dortmund,"47,709",Ibrox Stadium,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Rangers won
Knockout round play-offs,,Thu,2/24/2022,21:00 (23:00),Napoli it,1.3,2–4,1.9,es Barcelona,"37,858",Stadio Diego Armando Maradona,Sergey Karasev,Match Report,Leg 2 of 2; Barcelona won
Knockout round play-offs,,Thu,2/24/2022,21:00 (23:00),Betis es,0.8,0–0,1.1,ru Zenit,"44,236",Estadio Benito Villamarín,Halil Umut Meler,Match Report,Leg 2 of 2; Betis won
Round of 16,,Wed,3/9/2022,17:45 (20:45),Porto pt,1.6,0–1,1.7,fr Lyon,"26,309",Estádio Do Dragão,José Sánchez,Match Report,Leg 1 of 2
Round of 16,,Wed,3/9/2022,18:45 (20:45),Betis es,0.9,1–2,2.5,de Eint Frankfurt,"36,574",Estadio Benito Villamarín,Marco Guida,Match Report,Leg 1 of 2
Round of 16,,Thu,3/10/2022,18:45 (20:45),RB Leipzig de,,,,ru Spartak Moscow,,Red Bull Arena,,Match Report,Leg 1 of 2; Match Cancelled
